food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,food_name_std,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready
FR001,"Anak sapi, daging, gemuk, segar",DABM-1964,62,184,18.8,14.0,0.0,0.0,"5,2",10,200,"2,2",118.0,490.1,"0,17","3,3",12,,,,,7,,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, gemuk, segar",daging sapi,"anak sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,"anak sapi, daging, gemuk",False,True,False,False,64.4,6.58,4.9,0.0,41.3,171.535,3.5,0.0,False,True
FR002,"Anak sapi, daging, kurus, segar",DABM-1964,69,174,19.6,10.0,0.0,0.0,"1,4",11,201,"2,9",96.0,399.8,"0,14","2,7",6,,,,,"5,7",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, kurus, segar",daging sapi,"anak sapi, daging, kurus",1 potong sedang,1.0,potong sedang,35.0,"anak sapi, daging, kurus",False,True,False,False,60.9,6.86,3.5,0.0,33.6,139.93,3.85,0.0,False,True
FR003,"Anak sapi, daging, sedang, segar",DABM-1964,68,190,19.1,12.0,0.0,0.0,"0,9",11,193,"2,9",99.0,412.7,"0,14","2,8",12,,,,,"5,9",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"anak sapi, daging, sedang, segar",daging sapi,"anak sapi, daging, sedang",1 potong sedang,1.0,potong sedang,35.0,"anak sapi, daging, sedang",False,True,False,False,66.5,6.685,4.2,0.0,34.65,144.445,3.85,0.0,False,True
FR005,"Ayam, daging, segar",DABM-1964,"55,9",298,18.2,25.0,0.0,0.0,"0,9",14,200,"1,5",109.0,385.9,"0,11","0,6",245,,,,,"10,4",0.0,58,F,FR,LH,Lauk Hewani,tkpi_main_group,"ayam, daging, segar",daging ayam,"ayam, daging",1 potong sedang,1.0,potong sedang,40.0,"ayam, daging",False,True,False,False,119.2,7.28,10.0,0.0,43.6,154.36,5.6,0.0,False,True
FR024,"Sapi, daging gemuk, segar",DABM-1964,60,273,17.5,22.0,0.0,0.0,"0,5",10,150,"2,6",93.0,267.0,"0,17","6,4",12,,,,,"7,3",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, gemuk, segar",daging sapi,"sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,"sapi, daging, gemuk",False,True,False,False,95.55,6.125,7.7,0.0,32.55,93.45,3.5,0.0,False,True
FR025,"Sapi, daging kurus, segar",DABM-1964,69,174,19.6,10.0,0.0,0.0,"1,4",11,181,"2,9",83.0,489.0,"0,07","4,9",6,,,,,"1,2",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, kurus, segar",daging sapi,"sapi, daging, kurus",1 potong sedang,1.0,potong sedang,35.0,"sapi, daging, kurus",False,True,False,False,60.9,6.86,3.5,0.0,29.05,171.15,3.85,0.0,False,True
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,belut,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True
GR003,"Cumi-cumi, segar",KZGPI- 1990,"82,2",75,16.1,0.7,0.1,0.0,"0,9",32,200,"1,8",37.0,204.1,"1,6","1,3",0,20,0.0,"0,08",0,"2,5",0.0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"cumi-cumi, segar",cumi-cumi,cumi-cumi,1 ekor kecil,1.0,ekor kecil,45.0,cumi-cumi,False,True,False,False,33.75,7.245000000000001,0.3149999999999999,0.045,16.65,91.845,14.4,0.0,False,True
GR030,"Ikan kakap, segar",DABM- 1964,77,92,20.0,0.7,0.0,0.0,"2,3",20,200,1,,,,,9,,,"0,05",,,0.0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan kakap, segar",ikan kakap,ikan kakap,1/3 ekor besar,0.3333333333333333,ekor besar,35.0,ikan kakap,False,True,False,False,32.2,7.0,0.245,0.0,,,7.0,0.0,False,True
GR042,"Ikan lemuru, segar",DABM- 1964,76,112,20.0,3.0,0.0,0.0,1,20,100,1,,,,,30,0,,"0,05",,,0.0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan lemuru, segar",ikan lemuru,ikan lemuru,1 potong sedang,1.0,potong sedang,35.0,ikan lemuru,False,True,False,False,39.2,7.0,1.05,0.0,,,7.0,0.0,False,True
GR046,"Ikan mas, segar",DABM- 1964,80,86,16.0,2.0,0.0,0.0,2,20,150,2,65.0,276.7,"0,1","1,1",45,8,,"0,05","0,1","2,6",0.0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan mas, segar",ikan mas,ikan mas,1/3 ekor sedang,0.3333333333333333,ekor sedang,45.0,ikan mas,False,True,False,False,38.7,7.2,0.9,0.0,29.25,124.515,9.0,0.0,False,True
GR074,"Kerang, segar",KZGPI- 1990,"78,2",101,14.4,2.6,3.9,0.0,"0,9",321,270,"15,6",,,,,0,,0.0,"0,01",,,0.0,100,G,GR,LH,Lauk Hewani,tkpi_main_group,"kerang, segar",kerang,kerang,1/2 gelas,0.5,gelas,90.0,kerang,False,True,False,False,90.9,12.96,2.34,3.51,,,288.9,0.0,False,True
GP009,"Ikan cakalang asin, mentah",KZGPI- 1990,"41,7",198,36.5,2.2,5.5,0.0,"14,1",236,346,"3,7",4304.0,302.1,,,0,,0.0,"0,06",,,0.0,70,G,GP,LH,Lauk Hewani,tkpi_main_group,"ikan cakalang asin, mentah",ikan cakalang asin,ikan cakalang asin,1 potong sedang,1.0,potong sedang,20.0,"ikan cakalang asin, mentah",True,True,False,False,39.6,7.3,0.44,1.1,860.8,60.42,47.2,0.0,False,True
JR003,"Susu kambing, segar",DABM-1964,"85,9",64,4.3,2.3,6.6,0.0,"0,9",98,78,"2,7",35.0,160.0,"0,33","0,1",38,0,,"0,06","0,45","0,3",1.0,100,J,JR,SS,Susu,tkpi_main_group,"susu kambing, segar",susu kambing,susu kambing,3/4 gelas,0.75,gelas,185.0,susu kambing,False,True,False,False,118.4,7.955,4.254999999999999,12.21,64.75,296.0,181.3,0.0,False,True
JR004,"Susu kerbau, segar",DABM-1964,"73,8",160,6.3,12.0,7.1,,"0,8",216,101,"0,2",82.0,,,"0,3",24,,,"0,04","0,07",,1.0,100,J,JR,SS,Susu,tkpi_main_group,"susu kerbau, segar",susu kerbau,susu kerbau,1/2 gelas,0.5,gelas,100.0,susu kerbau,False,True,False,False,160.0,6.3,12.0,7.1,82.0,,216.0,,False,True
JR006,"Susu sapi, segar",DABM-1964,"88,3",61,3.2,3.5,4.3,0.0,"0,7",143,60,"1,7",36.0,149.0,"0,02","0,3",39,12,,"0,03","0,18","0,2",1.0,100,J,JR,SS,Susu,tkpi_main_group,"susu sapi, segar",susu sapi,susu sapi,1 gelas,1.0,gelas,200.0,susu sapi,False,True,False,False,122.0,6.4,7.0,8.6,72.0,298.0,286.0,0.0,False,True
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,minyak kacang tanah,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True
KR010,Minyak kedelai,FCTEA-1972,"0,1",883,0.0,99.9,0.0,0.0,0,0,0,0,0.0,0.1,0,0,0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kedelai,minyak kedelai,minyak kedelai,1 sendok teh,1.0,sendok teh,5.0,minyak kedelai,False,True,False,False,44.15,0.0,4.995,0.0,0.0,0.005,0.0,0.0,False,True
KR011,Minyak kelapa,DABM-1964,0,870,1.0,98.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,1.0,sendok teh,5.0,minyak kelapa,False,True,False,False,43.5,0.05,4.9,0.0,0.0,0.0,0.0,0.0,False,True
KR014,Minyak zaitun,DABM- 1964,0,884,0.0,100.0,0.0,0.0,0,14,0,"1,2",7.0,0.0,0,0,,0,,0,0,5,,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak zaitun,minyak zaitun,minyak zaitun,1 sendok teh,1.0,sendok teh,5.0,minyak zaitun,False,True,False,False,44.2,0.0,5.0,0.0,0.35,0.0,0.7,0.0,False,True
MP006,Gula kelapa,DABM- 1964,10,386,3.0,10.0,76.0,0.0,1,76,37,"2,6",2.0,0.0,0,0,0,0,,0,"0,34","0,5",0.0,100,M,MP,G,Gula,keyword_rule,gula kelapa,gula kelapa,gula kelapa,1 sendok makan,1.0,sendok makan,10.0,gula kelapa,True,True,False,False,38.6,0.3,1.0,7.6,0.2,0.0,7.6,0.0,False,True
